epoch,train_loss,val_loss,train_acc,val_acc,lr
0,1.7369116197374133,1.5718504945755005,0.3538222222222222,0.446,0.01
1,1.280926078754001,1.2240656187057495,0.5409777777777778,0.5632,0.01
2,1.023913164223565,0.9609505125045776,0.6371777777777777,0.6606,0.01
3,0.866771698474884,0.814127677488327,0.6946222222222223,0.7204,0.01
4,0.7661883702596028,0.741608000922203,0.7332444444444445,0.741,0.01
5,0.6958421351432801,0.6768303030014038,0.7591555555555556,0.7686,0.01
6,0.6403063686158922,0.6535506608963013,0.7758,0.7678,0.01
7,0.5982617580360836,0.5842841211795807,0.7918222222222222,0.801,0.01
8,0.5642818283822801,0.5780789251327515,0.8037333333333333,0.8002,0.01
9,0.5267456200811598,0.5315179790973663,0.8186222222222223,0.814,0.01
10,0.49795602066251965,0.5131532638549805,0.8269111111111112,0.8184,0.01
11,0.47433648856480914,0.5312712876319885,0.8358222222222222,0.8208,0.01
12,0.45557927621205646,0.48511915435791014,0.8424444444444444,0.8324,0.01
13,0.43650307688183254,0.4768369169235229,0.8472888888888889,0.8332,0.01
14,0.41866006677415635,0.48004416177272796,0.8553777777777778,0.8328,0.01
15,0.4066418840514289,0.5046274288415908,0.8583111111111111,0.8318,0.005
16,0.3195656984329224,0.3699129473984242,0.8894444444444445,0.8708,0.005
17,0.29779769004185996,0.3745686181217432,0.8961111111111111,0.8748,0.005
18,0.2846327167934842,0.38840043262243273,0.9006888888888889,0.868,0.0025
19,0.23992205822202894,0.3384917254924774,0.9170666666666667,0.886,0.0025
20,0.2240112714343601,0.333534565448761,0.9236222222222222,0.887,0.0025
21,0.21748506665229797,0.33577570676803586,0.9251333333333334,0.884,0.0025
22,0.21235091689427693,0.33759893472194674,0.9253777777777777,0.8804,0.00125
23,0.18393810108237796,0.3204371651351452,0.9372888888888888,0.8892,0.00125
24,0.1785222373697493,0.3110216310501099,0.9385555555555556,0.8982,0.00125
25,0.17051894675890605,0.3282101783454418,0.9422888888888888,0.894,0.00125
26,0.1654531432112058,0.3322849359989166,0.9429333333333333,0.8884,0.000625
27,0.15523428654670715,0.31211873817145824,0.9470222222222222,0.897,0.000625
28,0.1485938871860504,0.3017421809315681,0.9490222222222222,0.8946,0.000625
29,0.14566938276555802,0.31318385301828383,0.9507777777777778,0.8954,0.000625
30,0.1438432557159,0.3153416952133179,0.9504222222222222,0.8998,0.0003125
31,0.1363268859571881,0.3110030544996262,0.9535777777777777,0.8968,0.0003125
32,0.13249866327709622,0.30762083292007447,0.9561111111111111,0.8996,0.00015625
33,0.13248208157751296,0.3067252606868744,0.957,0.8998,0.00015625
34,0.13058540762000614,0.3090323527932167,0.9555333333333333,0.9004,7.8125e-05
35,0.12942268495029874,0.3106354558467865,0.9564222222222222,0.8944,7.8125e-05
36,0.12860688271522522,0.30775429653525355,0.9574,0.9018,3.90625e-05
37,0.12933280275132922,0.31644297297000884,0.9578888888888889,0.8984,3.90625e-05
38,0.12728140267266166,0.29314204646945,0.9578888888888889,0.9026,3.90625e-05
39,0.12634865945445167,0.3052993709653616,0.9582444444444445,0.9024,3.90625e-05
40,0.12518181595802308,0.3066032240629196,0.9581111111111111,0.9024,1.953125e-05
41,0.12648314252446094,0.31099513785392047,0.9582,0.9018,1.953125e-05
42,0.12592516248524188,0.3012926387012005,0.9585555555555556,0.901,9.765625e-06
43,0.12962785006297958,0.3060777308225632,0.9561111111111111,0.9016,9.765625e-06
44,0.12519944063822427,0.30310295790433883,0.9585777777777778,0.9016,4.8828125e-06
45,0.12562453420294656,0.305328530973196,0.9579777777777778,0.9,4.8828125e-06
46,0.12689975942240822,0.3089285422205925,0.9582,0.9,2.44140625e-06
47,0.12494459224806892,0.30964603754282,0.9584222222222222,0.8992,2.44140625e-06
48,0.12349773721430037,0.30566478323936463,0.9583111111111111,0.9014,1.220703125e-06
49,0.12317493533293407,0.3084569575726986,0.9596222222222223,0.8992,1.220703125e-06
50,0.12355247299538719,0.3069146601200104,0.9591777777777778,0.8992,6.103515625e-07
51,0.1273366162194146,0.3077843447685242,0.9572222222222222,0.902,6.103515625e-07
52,0.12371305480533176,0.3153313014805317,0.9592444444444445,0.8968,3.0517578125e-07
53,0.12867464769416384,0.30442948732376096,0.9571333333333333,0.9024,3.0517578125e-07
54,0.12510492438872656,0.29693276653289796,0.9580666666666666,0.9034,1.52587890625e-07
55,0.1251088385555479,0.3159218735575676,0.959,0.8964,1.52587890625e-07
56,0.12484446402390798,0.31087420942485333,0.9578444444444445,0.901,7.62939453125e-08
57,0.12837920178837248,0.30793983351625503,0.9566222222222223,0.8962,7.62939453125e-08
58,0.1240547950135337,0.29550461068153383,0.9592666666666667,0.9072,3.814697265625e-08
59,0.12918030686113569,0.3092567183047533,0.9568,0.9002,3.814697265625e-08
60,0.12748538417816163,0.29784654893875123,0.9579333333333333,0.8992,1.9073486328125e-08
61,0.12527069341076744,0.3133680252492428,0.9587555555555556,0.8996,1.9073486328125e-08
62,0.125695045987765,0.30773317905664443,0.9577555555555556,0.9,1.9073486328125e-08
63,0.1253089477141698,0.2997668173909187,0.9578666666666666,0.9044,1.9073486328125e-08
64,0.12492858900229137,0.30778778917789457,0.9588222222222222,0.901,1.9073486328125e-08
65,0.12317401168197394,0.3108205647110939,0.9592444444444445,0.9002,1.9073486328125e-08
66,0.12612348834408654,0.3123232702970505,0.9589777777777778,0.9018,1.9073486328125e-08
67,0.12515320311122471,0.2916464691996574,0.9578666666666666,0.9018,1.9073486328125e-08
68,0.12499654769102732,0.3052778566837311,0.9591777777777778,0.9034,1.9073486328125e-08
69,0.12664775492217806,0.30772782760858536,0.9567555555555556,0.9004,1.9073486328125e-08
70,0.12574413316647212,0.3104821646928787,0.9588666666666666,0.9004,1.9073486328125e-08
71,0.12208821919229296,0.30324980288147924,0.9599333333333333,0.9,1.9073486328125e-08
72,0.12468940250078837,0.3157812044382095,0.9583555555555555,0.897,1.9073486328125e-08
73,0.12428250606060028,0.30494788682460783,0.9589777777777778,0.9006,1.9073486328125e-08
74,0.1256671175479889,0.3066890216201544,0.9590666666666666,0.9,1.9073486328125e-08
75,0.1247911573847135,0.30063096476607026,0.9585555555555556,0.8988,1.9073486328125e-08
76,0.126456035817994,0.2840505418539047,0.9576,0.9048,1.9073486328125e-08
77,0.12532279619110956,0.315253931838274,0.9584666666666667,0.8986,1.9073486328125e-08
78,0.12539601771036785,0.3053373064547777,0.9586888888888889,0.9026,1.9073486328125e-08
79,0.12793341453340318,0.3181716128349304,0.9565111111111111,0.897,1.9073486328125e-08
80,0.12637980968952178,0.29679180760234597,0.9579777777777778,0.903,1.9073486328125e-08
81,0.12576093894375695,0.3081580286502838,0.9585777777777778,0.9028,1.9073486328125e-08
82,0.12385067654053371,0.3033284186959267,0.9591777777777778,0.8996,1.9073486328125e-08
83,0.12729953957133822,0.294121141910553,0.9578222222222222,0.9058,1.9073486328125e-08
84,0.1253811345524258,0.3135545394361019,0.9591111111111111,0.8964,1.9073486328125e-08
85,0.12470689635276794,0.297338374710083,0.9583333333333334,0.9026,1.9073486328125e-08
86,0.1278648475991355,0.30764426268339157,0.958,0.9034,1.9073486328125e-08
87,0.12769055841498905,0.30400758455991744,0.9573333333333334,0.9004,1.9073486328125e-08
88,0.12469986523787181,0.2986001634433866,0.959,0.9082,1.9073486328125e-08
89,0.1257838251378801,0.31147693772315976,0.9587555555555556,0.8984,1.9073486328125e-08
90,0.1281757668654124,0.30951998970508576,0.9569777777777778,0.8972,1.9073486328125e-08
91,0.12496079467137655,0.30642743739634754,0.958,0.9008,1.9073486328125e-08
92,0.1256431080977122,0.3042928426504135,0.9583111111111111,0.8954,1.9073486328125e-08
93,0.12756160150236553,0.31604245490580796,0.9566444444444444,0.8968,1.9073486328125e-08
94,0.12497671492364672,0.30484729698896407,0.9578888888888889,0.901,1.9073486328125e-08
95,0.12520734188689125,0.3140320719957352,0.9587333333333333,0.8982,1.9073486328125e-08
96,0.12509773477547698,0.30573862388134004,0.9586888888888889,0.9032,1.9073486328125e-08
97,0.12206605581442515,0.29321933819949625,0.9602,0.9062,1.9073486328125e-08
98,0.12614554244677226,0.31057933557629586,0.9584222222222222,0.9014,1.9073486328125e-08
99,0.12800911104414198,0.30519579049348833,0.9573333333333334,0.8976,1.9073486328125e-08

Model size (MB): 9.18
Total training time (minutes): 162.80 for total epochs 100
Total parameters: 2237770
